time, U1PosX, U1PosY, U1PosZ, U1HeadX, U1HeadY, U1HeadZ, U1HeadEulerX, U1HeadEulerY, U1LocalHeadEulerZ, U1ControllerRX, U1ControllerRY, U1ControllerRZ, U1ControllerEulerRX, U1ControllerEulerRY, U1ControllerEulerRZ,U1ControllerLX, U1ControllerLY, U1ControllerLZ, U1ControllerEulerLX, U1ControllerEulerLY, U1ControllerEulerLZ,U1PointerX, U1PointerY, U1PointerZ, U1PointerVis, U1StickyPointerX, U1StickyPointerY, U1StickyPointerZ, U1StickyPointerVis,U2PosX, U2PosY, U2PosZ, U2HeadX, U2HeadY, U2HeadZ, U2HeadEulerX, U2HeadEulerY, U2LocalHeadEulerZ, U2ControllerRX, U2ControllerRY, U2ControllerRZ, U2ControllerEulerRX, U2ControllerEulerRY, U2ControllerEulerRZ,U2ControllerLX, U2ControllerLY, U2ControllerLZ, U2ControllerEulerLX, U2ControllerEulerLY, U2ControllerEulerLZ,U2PointerX, U2PointerY, U2PointerZ, U2PointerVis, U2StickyPointerX, U2StickyPointerY, U2StickyPointerZ, U2StickyPointerVis
0.000,1.469, -0.027, -1.215,2.719, 1.370, -0.311,356.696, 90.301, 359.946,2.644, 1.337, -0.619,15.012, 74.452, 54.722,2.693, 1.343, -0.478,16.724, 132.498, 305.978,null,null,null,0,2.981, 1.566, 0.494,0,0.166, -0.027, 1.520,0.000, 1.726, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.399, 1.113, 2.973,0,0.371, 1.109, 2.973,0
0.036,1.469, -0.027, -1.215,2.719, 1.370, -0.311,356.694, 90.302, 359.945,2.644, 1.337, -0.619,15.012, 74.452, 54.722,2.693, 1.343, -0.478,16.723, 132.496, 305.978,null,null,null,0,2.981, 1.566, 0.494,0,0.166, -0.027, 1.520,0.239, -0.304, 1.398,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.375, 1.134, 2.973,0,0.374, 1.109, 2.973,0
0.073,1.469, -0.027, -1.215,2.719, 1.370, -0.311,356.691, 90.303, 359.954,2.643, 1.337, -0.619,15.011, 74.451, 54.722,2.693, 1.343, -0.478,16.723, 132.494, 305.979,null,null,null,0,2.981, 1.566, 0.494,0,0.166, -0.027, 1.520,0.239, -0.304, 1.398,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.375, 1.134, 2.973,0,0.374, 1.109, 2.973,0
0.114,1.469, -0.027, -1.215,2.719, 1.370, -0.311,356.697, 90.302, 359.954,2.643, 1.337, -0.619,15.010, 74.451, 54.722,2.693, 1.343, -0.478,16.723, 132.490, 305.980,null,null,null,0,2.981, 1.566, 0.494,0,0.166, -0.027, 1.520,0.239, -0.304, 1.398,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.365, 1.144, 2.973,0,0.374, 1.111, 2.973,0
0.154,1.469, -0.027, -1.215,2.719, 1.370, -0.311,356.700, 90.303, 359.949,2.643, 1.337, -0.619,15.010, 74.451, 54.721,2.693, 1.343, -0.478,16.724, 132.489, 305.979,null,null,null,0,2.981, 1.566, 0.494,0,0.166, -0.027, 1.520,0.239, -0.304, 1.398,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.365, 1.144, 2.973,0,0.374, 1.111, 2.973,0
0.192,1.469, -0.027, -1.215,2.719, 1.370, -0.311,356.696, 90.301, 359.952,2.644, 1.337, -0.619,15.010, 74.452, 54.722,2.693, 1.343, -0.478,16.724, 132.488, 305.980,null,null,null,0,2.981, 1.566, 0.494,0,0.166, -0.027, 1.520,0.239, -0.304, 1.398,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.365, 1.144, 2.973,0,0.374, 1.111, 2.973,0
0.233,1.469, -0.027, -1.215,2.719, 1.370, -0.311,356.696, 90.301, 359.953,2.644, 1.337, -0.619,15.009, 74.452, 54.723,2.693, 1.343, -0.478,16.723, 132.486, 305.979,null,null,null,0,2.981, 1.566, 0.494,0,0.166, -0.027, 1.520,0.239, -0.304, 1.398,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.365, 1.144, 2.973,0,0.374, 1.111, 2.973,0
0.273,1.469, -0.027, -1.215,2.719, 1.370, -0.311,356.695, 90.300, 359.950,2.643, 1.337, -0.619,15.007, 74.452, 54.723,2.693, 1.343, -0.478,16.723, 132.483, 305.978,null,null,null,0,2.981, 1.566, 0.494,0,0.166, -0.027, 1.520,0.239, -0.304, 1.398,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.365, 1.144, 2.973,0,0.374, 1.111, 2.973,0
0.313,1.469, -0.027, -1.215,2.719, 1.370, -0.311,356.699, 90.296, 359.946,2.643, 1.337, -0.619,15.008, 74.453, 54.723,2.693, 1.343, -0.478,16.722, 132.481, 305.979,null,null,null,0,2.981, 1.566, 0.494,0,0.166, -0.027, 1.520,0.239, -0.304, 1.398,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.365, 1.144, 2.973,0,0.374, 1.111, 2.973,0
0.352,1.469, -0.027, -1.215,2.719, 1.370, -0.311,356.692, 90.300, 359.951,2.643, 1.337, -0.619,15.008, 74.454, 54.725,2.693, 1.343, -0.478,16.722, 132.480, 305.978,null,null,null,0,2.981, 1.566, 0.494,0,0.166, -0.027, 1.520,0.239, -0.304, 1.398,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.166, -0.027, 1.520,0.000, 180.000, 180.000,0.365, 1.144, 2.973,0,0.374, 1.111, 2.973,0
