time, U1PosX, U1PosY, U1PosZ, U1HeadX, U1HeadY, U1HeadZ, U1HeadEulerX, U1HeadEulerY, U1LocalHeadEulerZ, U1ControllerRX, U1ControllerRY, U1ControllerRZ, U1ControllerEulerRX, U1ControllerEulerRY, U1ControllerEulerRZ,U1ControllerLX, U1ControllerLY, U1ControllerLZ, U1ControllerEulerLX, U1ControllerEulerLY, U1ControllerEulerLZ,U1PointerX, U1PointerY, U1PointerZ, U1PointerVis, U1StickyPointerX, U1StickyPointerY, U1StickyPointerZ, U1StickyPointerVis, U1SpeakingU2PosX, U2PosY, U2PosZ, U2HeadX, U2HeadY, U2HeadZ, U2HeadEulerX, U2HeadEulerY, U2LocalHeadEulerZ, U2ControllerRX, U2ControllerRY, U2ControllerRZ, U2ControllerEulerRX, U2ControllerEulerRY, U2ControllerEulerRZ,U2ControllerLX, U2ControllerLY, U2ControllerLZ, U2ControllerEulerLX, U2ControllerEulerLY, U2ControllerEulerLZ,U2PointerX, U2PointerY, U2PointerZ, U2PointerVis, U2StickyPointerX, U2StickyPointerY, U2StickyPointerZ, U2StickyPointerVis, U2Speaking
0.438,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.786, 342.865, 359.774,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.000, -0.039, 0.050,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.480,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.781, 342.865, 359.771,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.000, -0.039, 0.050,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.518,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.779, 342.873, 359.762,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.659,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.000, -0.039, 0.050,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.559,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.744, 342.859, 359.731,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.637, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.000, -0.039, 0.050,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.600,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.745, 342.847, 359.751,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.041, 1.255, 0.295,345.375, 351.095, 356.860,0.126, 0.901, 0.688,338.197, 338.117, 338.491,-0.175, 0.895, 0.592,348.277, 24.981, 20.812,null,null,null,0,null,null,null,1,0
0.639,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.812, 342.896, 359.763,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.245, 306.660,null,null,null,0,null,null,null,1,1,0.000, -0.027, 0.000,0.041, 1.255, 0.295,345.375, 351.095, 356.860,0.126, 0.901, 0.688,338.197, 338.117, 338.491,-0.175, 0.895, 0.592,348.277, 24.981, 20.812,null,null,null,0,null,null,null,1,0
0.682,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.752, 342.888, 359.737,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,1,0.000, -0.027, 0.000,0.041, 1.255, 0.295,345.375, 351.095, 356.860,0.126, 0.901, 0.688,338.197, 338.117, 338.491,-0.175, 0.895, 0.592,348.277, 24.981, 20.812,null,null,null,0,null,null,null,1,0
0.718,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.716, 342.867, 359.750,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,1,0.000, -0.027, 0.000,0.041, 1.255, 0.295,345.375, 351.095, 356.860,0.126, 0.901, 0.688,338.197, 338.117, 338.491,-0.175, 0.895, 0.592,348.277, 24.981, 20.812,null,null,null,0,null,null,null,1,0
0.758,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.736, 342.869, 359.685,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.041, 1.255, 0.295,345.375, 351.095, 356.860,0.126, 0.901, 0.688,338.197, 338.117, 338.491,-0.175, 0.895, 0.592,348.277, 24.981, 20.812,null,null,null,0,null,null,null,1,0
0.801,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.757, 342.845, 359.728,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.045, 1.260, 0.303,345.678, 350.821, 357.080,0.126, 0.899, 0.688,339.165, 339.532, 339.856,-0.174, 0.894, 0.594,348.275, 25.065, 17.856,null,null,null,0,null,null,null,1,0
0.838,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.734, 342.873, 359.720,-0.495, 0.786, 0.693,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.245, 306.659,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.048, 1.264, 0.311,345.956, 350.561, 357.304,0.126, 0.896, 0.688,340.013, 340.969, 341.098,-0.173, 0.894, 0.596,348.308, 25.173, 14.963,null,null,null,0,null,null,null,1,0
0.880,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.722, 342.883, 359.742,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.245, 306.660,null,null,null,0,null,null,null,1,0,0.302, -0.027, -0.068,0.350, 1.270, 0.254,346.494, 351.227, 356.427,0.428, 0.896, 0.622,340.386, 342.081, 342.132,0.130, 0.893, 0.530,348.580, 24.567, 11.099,null,null,null,0,null,null,null,1,0
0.920,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.753, 342.883, 359.749,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.302, -0.027, -0.068,0.349, 1.277, 0.265,347.062, 351.938, 355.493,0.428, 0.895, 0.623,340.718, 343.187, 343.167,0.131, 0.893, 0.531,348.825, 23.901, 7.154,null,null,null,0,null,null,null,1,0
0.959,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.740, 342.859, 359.708,-0.495, 0.786, 0.692,15.262, 9.465, 55.059,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.302, -0.027, -0.068,0.346, 1.280, 0.271,347.471, 352.751, 354.700,0.427, 0.895, 0.624,340.464, 343.579, 344.791,0.132, 0.892, 0.532,349.345, 23.699, 3.185,null,null,null,0,null,null,null,1,0
