timestamp,U1PosX, U1PosY, U1PosZ,U1HeadPosX, U1HeadPosY, U1HeadPosZ,U1HeadForwardX, U1HeadForwardY, U1HeadForwardZ,U1HeadUpX, U1HeadUpY, U1HeadUpZ,U1HeadCone,U1LeftEyeX,U1LeftEyeY,U1LeftEyeZ,U1RightEyeX,U1RightEyeY,U1RightEyeZ,U1GazeX,U1GazeY,U1GazeZ,U1ControllerRPosX, U1ControllerRPosY, U1ControllerRPosZ,U1ControllerREAngX, U1ControllerREAngY,  U1ControllerREAngZ,U1ControllerLPosX, U1ControllerLPosY, U1ControllerLPosZ,U1ControllerLEAngX, U1ControllerLEAngY,  U1ControllerLEAngZ,U1PointerX, U1PointerY,  U1PointerZ,U2Speech,U2PosX, U1PosY, U1PosZ,U2HeadPosX, U2HeadPosY, U2HeadPosZ,U2HeadForwardX, U2HeadForwardY, U2HeadForwardZ,U2HeadUpX, U2HeadUpY, U2HeadUpZ,U2HeadCone,U2LeftEyeX,U2LeftEyeY,U2LeftEyeZ,U2RightEyeX,U2RightEyeY,U2RightEyeZ,U2GazeX,U2GazeY,U2GazeZ,U2ControllerRPosX, U2ControllerRPosY, U2ControllerRPosZ,U2ControllerREAngX, U2ControllerREAngY,  U2ControllerREAngZ,U2ControllerLPosX, U2ControllerLPosY, U2ControllerLPosZ,U2ControllerLEAngX, U2ControllerLEAngY,  U2ControllerLEAngZ,U2PointerX, U2PointerY,  U2PointerZ,U2Speech
0.000
1.953
2.771
2.805
2.833
2.845
2.855
2.867
2.886
2.897
2.908
2.918
2.929
2.945
2.956
2.966
2.977
2.989
2.999
3.013
3.023
3.034
3.044
3.054
3.065
3.077
3.088
3.098
3.110
3.125
3.136
3.146
3.157
3.170
3.182
3.192
3.203
3.213
3.223
3.238
3.250
3.261
3.271
3.281
3.292
3.302
3.314
3.324
3.335
3.345
3.355
3.367
3.432,0.000, 0.000, 0.000,0.000, 1.414, -0.078,0.000, 0.022, 1.000,-0.021, 1.000, -0.022,,0.000, 1.000, 0.000,0.000, 1.000, 0.000,-2.011, 1.226, 2.193,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,null,null,null,
3.508,0.000, 0.000, 0.000,0.000, 1.414, -0.078,0.000, 0.022, 1.000,-0.021, 1.000, -0.022,,0.000, 1.000, 0.000,0.000, 1.000, 0.000,-2.011, 1.226, 2.193,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,null,null,null,
3.516,0.000, 0.000, 0.000,0.000, 1.414, -0.078,0.000, 0.022, 1.000,-0.021, 1.000, -0.022,,0.000, 1.000, 0.000,0.000, 1.000, 0.000,-2.011, 1.226, 2.193,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,null,null,null,
3.563,0.000, 0.000, 0.000,0.000, 1.414, -0.078,0.000, 0.022, 1.000,-0.021, 1.000, -0.022,,0.000, 1.000, 0.000,0.000, 1.000, 0.000,-1.404, 1.801, 2.800,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,null,null,null,
3.597,0.000, 0.000, 0.000,0.000, 1.414, -0.078,0.000, 0.022, 1.000,-0.021, 1.000, -0.022,,0.000, 1.000, 0.000,0.000, 1.000, 0.000,-1.404, 1.801, 2.800,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,null,null,null,
3.631,0.000, 0.000, 0.000,0.000, 1.414, -0.078,0.000, 0.022, 1.000,-0.021, 1.000, -0.022,,0.000, 1.000, 0.000,0.000, 1.000, 0.000,-1.404, 1.801, 2.800,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,null,null,null,
3.666,0.000, 0.000, 0.000,0.000, 1.414, -0.078,0.000, 0.022, 1.000,-0.021, 1.000, -0.022,,0.000, 1.000, 0.000,0.000, 1.000, 0.000,-1.239, 1.803, 2.965,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,null,null,null,
3.702,0.000, 0.000, 0.000,-0.040, 1.158, 0.086,-0.504, 0.326, 0.800,0.145, 0.945, -0.294,,0.151, 0.952, -0.265,0.152, 0.952, -0.265,-1.239, 1.803, 2.965,-0.065, 0.858, 0.526,357.422, 320.754, 82.937,-0.230, 0.825, 0.467,356.977, 0.316, 281.050,null,null,null,
3.730,0.000, 0.000, 0.000,-0.038, 1.162, 0.088,-0.434, 0.373, 0.820,0.158, 0.928, -0.338,,0.167, 0.936, -0.310,0.168, 0.936, -0.310,-0.827, 1.527, 2.973,-0.063, 0.858, 0.528,355.337, 323.831, 84.260,-0.229, 0.823, 0.465,357.393, 0.645, 278.316,null,null,null,
3.764,0.000, 0.000, 0.000,-0.035, 1.164, 0.089,-0.373, 0.412, 0.831,0.163, 0.911, -0.378,,0.174, 0.920, -0.351,0.174, 0.920, -0.351,-0.293, 1.422, 2.973,-0.062, 0.858, 0.528,354.956, 323.750, 84.735,-0.228, 0.822, 0.464,359.141, 1.600, 278.788,null,null,null,
