time, U1PosX, U1PosY, U1PosZ, U1HeadX, U1HeadY, U1HeadZ, U1HeadEulerX, U1HeadEulerY, U1LocalHeadEulerZ, U1ControllerRX, U1ControllerRY, U1ControllerRZ, U1ControllerEulerRX, U1ControllerEulerRY, U1ControllerEulerRZ,U1ControllerLX, U1ControllerLY, U1ControllerLZ, U1ControllerEulerLX, U1ControllerEulerLY, U1ControllerEulerLZ,U1PointerX, U1PointerY, U1PointerZ, U1PointerVis, U1StickyPointerX, U1StickyPointerY, U1StickyPointerZ, U1StickyPointerVis, U1Speaking,U2PosX, U2PosY, U2PosZ, U2HeadX, U2HeadY, U2HeadZ, U2HeadEulerX, U2HeadEulerY, U2LocalHeadEulerZ, U2ControllerRX, U2ControllerRY, U2ControllerRZ, U2ControllerEulerRX, U2ControllerEulerRY, U2ControllerEulerRZ,U2ControllerLX, U2ControllerLY, U2ControllerLZ, U2ControllerEulerLX, U2ControllerEulerLY, U2ControllerEulerLZ,U2PointerX, U2PointerY, U2PointerZ, U2PointerVis, U2StickyPointerX, U2StickyPointerY, U2StickyPointerZ, U2StickyPointerVis, U2Speaking
0.440,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.784, 20.484, 1.397,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.479,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.785, 20.479, 1.400,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.522,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.783, 20.475, 1.398,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.819, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.562,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.785, 20.477, 1.399,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.600,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.787, 20.482, 1.398,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.639,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.790, 20.483, 1.396,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.819, 13.295, 179.858,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.681,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.785, 20.481, 1.395,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.720,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.786, 20.484, 1.397,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.762,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.783, 20.490, 1.395,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.819, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.800,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.781, 20.490, 1.395,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.841,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.776, 20.483, 1.398,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.880,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.779, 20.490, 1.406,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.921,0.000, -0.027, 0.000,0.762, 0.830, 0.147,356.773, 20.485, 1.405,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.960,0.000, -0.027, 0.000,0.762, 0.830, 0.147,356.777, 20.488, 1.405,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
1.000,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.779, 20.486, 1.406,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.029, 1.260, 0.016,353.700, 353.089, 3.216,0.168, 0.747, 0.237,353.714, 335.870, 4.592,-0.024, 0.764, 0.296,4.792, 18.699, 12.473,null,null,null,0,null,null,null,1,0
